Y_Pixel,X_Pixel,Resolution_Type,Brand,Display size (cm),Display size (inch),model_name,launch_year,smart_tv,os,usb_count,hdmi_count,screen_type,Price
720,1280,HD Ready,SAMSUNG,80.0,32,UA32T4380AKXXL,2022,Yes,Tizen,1,2,LED,11990
720,1280,HD Ready,iFFALCON,79.97,32,iFF32S53,2023,Yes,Android,1,2,LED,8999
2160,3840,Ultra HD (4K),iFFALCON,108.0,43,iFF43U62,2022,Yes,Google TV,1,3,LED,17999
2160,3840,Ultra HD (4K),Thomson,126.0,50,50OPMAXGT9020,2023,Yes,Google TV,2,3,LED,22999
1080,1920,Full HD,Mi,100.0,40,L40M8-5AIN,2023,Yes,Google TV,2,2,LED,20499
2160,3840,Ultra HD (4K),iFFALCON,139.0,55,iFF55U62,2022,Yes,Google TV,1,3,LED,25999
720,1280,HD Ready,Infinix,80.0,32,32Y1,2022,Yes,Linux,2,3,LED,8499
1080,1920,Full HD,TCL,80.04,32,32S5403AF,2023,Yes,Android,1,2,LED,11490
720,1280,HD Ready,SENS,80.0,32,32WCSHD,2022,Yes,Linux,2,3,LED,7499
1080,1920,Full HD,Mi,100.0,40,L40M7-EAIN,2022,Yes,Android,2,2,LED,19990
2160,3840,Ultra HD (4K),SONY,138.8,55,KD-55X74K,2022,Yes,Google TV,2,3,LED,52990
2160,3840,Ultra HD (4K),SAMSUNG,108.0,43,UA43CUE70AKLXL,2023,Yes,Tizen,1,3,LED,28490
720,1280,HD Ready,Thomson,80.0,32,32PATH0011,2020,Yes,Android,2,3,LED,8888
2160,3840,Ultra HD (4K),iFFALCON,126.0,50,iFF50U62,2022,Yes,Google TV,1,3,LED,23999
1080,1920,Full HD,TOSHIBA,108.0,43,43V35MP,2023,Yes,Android,2,2,LED,18999
2160,3840,Ultra HD (4K),Hisense,139.0,55,55A7H,2022,Yes,Google TV,2,3,LED,31999
2160,3840,Ultra HD (4K),Blaupunkt,126.0,50,50QD7010,2022,Yes,Google TV,2,3,QLED,26999
720,1280,HD Ready,Thomson,80.0,32,32RT1022,2023,Yes,Android,2,3,LED,9499
