title,deal_price,screen_type,hdmi_count,usb_count,os,smart_tv,display_size,hd_technology_resolution,launch_year,model_name
SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV 2022 Edition with Bezel-free Design  (UA32T4380AKXXL),"₹11,990",LED,2,1,Tizen,Yes,80 cm (32 Inch),"HD Ready, 1366 x 768",2022,UA32T4380AKXXL
iFFALCON by TCL 79.97 cm (32 inch) HD Ready LED Smart Android TV with Google Assistant  (iFF32S53),"₹8,999",LED,2,1,Android,Yes,79.97 cm (32 inch),"HD Ready, 1366 x 768",2023,iFF32S53
"iFFALCON by TCL U62 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with Dolby Audio, HDR10  (iFF43U62)","₹17,999",LED,3,1,Google TV,Yes,108 cm (43 inch),"Ultra HD (4K), 3840 x 2160",2022,iFF43U62
Thomson 126 cm (50 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Dolby Vision & Atmos  (50OPMAXGT9020),"₹22,999",LED,3,2,Google TV,Yes,126 cm (50 inch),"Ultra HD (4K), 3840 x 2160",2023,50OPMAXGT9020
Mi A series 100 cm (40 inch) Full HD LED Smart Google TV 2023 Edition with FHD | Dolby Audio | DTS : HD | DTS Virtual : X | Vivid Picture Engine,"₹20,499",LED,2,2,Google TV,Yes,100 cm (40 inch),"Full HD, 1920 x 1080",2023,L40M8-5AIN
"iFFALCON by TCL U62 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV with Dolby Audio, HDR10  (iFF55U62)","₹25,999",LED,3,1,Google TV,Yes,139 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2022,iFF55U62
"Infinix Y1 80 cm (32 inch) HD Ready LED Smart Linux TV 2022 Edition with YouTube & Pre-loaded Apps, Wifi Enabled, Miracast, Web Browser  (32Y1)","₹8,499",LED,3,2,Linux,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2022,32Y1
TCL 80.04 cm (32 inch) Full HD LED Smart Android TV 2023 Edition with Google Assistant |  (32S5403AF),"₹11,490",LED,2,1,Android,Yes,80.04 cm (32 inch),"Full HD, 1920 x 1080",2023,32S5403AF
SENS 80 cm (32 inch) HD Ready LED Smart Linux TV 2022 Edition  (32WCSHD),"₹7,499",LED,3,2,Linux,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2022,32WCSHD
Mi 5A 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Audio (2022 Model),"₹19,990",LED,2,2,Android,Yes,100 cm (40 inch),"Full HD, 1920 x 1080",2022,L40M7-EAIN
SONY 138.8 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2022 Edition  (KD-55X74K),"₹52,990",LED,3,2,Google TV,Yes,138.8 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2022,KD-55X74K
SAMSUNG Crystal Vision 4K iSmart with Voice Assistant 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV 2023 Edition with Video Calling & IOT Sensors for Light & Camera  (UA43CUE70AKLXL),"₹28,490",LED,3,1,Tizen,Yes,108 cm (43 inch),"Ultra HD (4K), 3840 x 2160",2023,UA43CUE70AKLXL
Thomson 9A Series 80 cm (32 inch) HD Ready LED Smart Android TV  (32PATH0011),"₹8,888",LED,3,2,Android,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2020,32PATH0011
"iFFALCON by TCL U62 126 cm (50 inch) Ultra HD (4K) LED Smart Google TV with Dolby Audio, HDR10  (iFF50U62)","₹23,999",LED,3,1,Google TV,Yes,126 cm (50 inch),"Ultra HD (4K), 3840 x 2160",2022,iFF50U62
TOSHIBA 108 cm (43 inch) Full HD LED Smart Android TV 2023 Edition with DTS X  (43V35MP),"₹18,999",LED,2,2,Android,Yes,108 cm (43 inch),"Full HD, 1920 x 1080",2023,43V35MP
"Hisense Tornado 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2022 Edition with 102W JBL 6 Speakers, Dolby Vision and Atmos  (55A7H)","₹31,999",LED,3,2,Google TV,Yes,139 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2022,55A7H
Blaupunkt 126 cm (50 Inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Far-Field Mic  (50QD7010),"₹26,999",QLED,3,2,Google TV,Yes,126 cm (50 Inch),"Ultra HD (4K), 3840 x 2160",2022,50QD7010
Thomson FA Series 80 cm (32 inch) HD Ready LED Smart Android TV 2023 Edition with Dolby Digital Plus & Android 11  (32RT1022),"₹9,499",LED,3,2,Android,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2023,32RT1022
"Acer Advanced I Series 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Dolby Vision-Atmos, 36W Sound Output  (AR55GR2851UDFL)","₹29,999",LED,3,2,Google TV,Yes,139 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2023,AR55GR2851UDFL
"Hisense Tornado 126 cm (50 inch) Ultra HD (4K) LED Smart Google TV 2022 Edition with 102W JBL 6 Speakers, Dolby Vision and Atmos  (50A7H)","₹27,999",LED,3,2,Google TV,Yes,126 cm (50 inch),"Ultra HD (4K), 3840 x 2160",2022,50A7H
Mi A series 80 cm (32 inch) HD Ready LED Smart Google TV 2023 Edition with HD |Dolby Audio | DTS:HD | Vivid Picture Engine,"₹11,499",LED,2,2,Google TV,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2023,L32M8-5AIN
TCL 79.97 cm (32 inch) HD Ready LED Smart Android TV 2022 Edition with Google Assistant  (32S5400A),"₹10,990",LED,2,1,Android,Yes,79.97 cm (32 inch),"HD Ready, 1366 x 768",2022,32S5400A
Blaupunkt CyberSound G2 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Dolby Vision & 60W Sound Output  (55CSGT7023),"₹26,999",LED,3,2,Google TV,Yes,139 cm (55 inch),"Ultra HD (4K), 3840 × 2160",2023,55CSGT7023
KODAK 7XPRO Series 80 cm (32 inch) HD Ready LED Smart Android TV  (32HDX7XPRO),"₹8,999",LED,3,2,Android,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2020,32HDX7XPRO
Thomson R9 60 cm (24 inch) HD Ready LED TV  (24TM2490),"₹5,999",LED,2,2,Android,No,60 cm (24 inch),"HD Ready, 1366 x 768",2018,24TM2490
SONY 125.7 cm (50 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition  (KD-50X64L),"₹52,990",LED,3,1,Google TV,Yes,125.7 cm (50 inch),"Ultra HD (4K), 3840 x 2160",2023,KD-50X64L
